time_au,dipole
0,-0.2037536303
0.04,-0.1986577462
0.08,-0.184307685
0.12,-0.1620152083
0.16,-0.1322936492
0.2,-0.09518153482
0.24,-0.05052814155
0.28,0.001889485715
0.32,0.06224219981
0.36,0.1305728526
0.4,0.2067921168
0.44,0.2907016884
0.48,0.3820304786
0.52,0.4804899135
0.56,0.5858226019
0.6,0.6978255446
0.64,0.816360111
0.68,0.9413463991
0.72,1.072735541
0.76,1.210478113
0.8,1.354501535
0.84,1.504692653
0.88,1.660890815
0.92,1.822898165
0.96,1.990497692
1,2.1634718
1.04,2.34162217
1.08,2.524783663
1.12,2.712825299
1.16,2.905643124
1.2,3.103148378
1.24,3.305251056
1.28,3.511845878
1.32,3.722806312
1.36,3.937984839
1.4,4.157219359
1.44,4.380345741
1.48,4.60721062
1.52,4.837680295
1.56,5.07164581
1.6,5.309022515
1.64,5.549743684
1.68,5.793751744
1.72,6.040990248
1.76,6.291396645
1.8,6.5448994
1.84,6.801423632
1.88,7.06089103
1.92,7.323224191
1.96,7.58836144
2,7.856259714
2.04,8.126894116
2.08,8.400262043
2.12,8.676380058
2.16,8.95527212
2.2,9.236967119
2.24,9.521493803
2.28,9.808871975
2.32,10.09911681
2.36,10.39223357
2.4,10.68823111
2.44,10.98713621
2.48,11.28898462
2.52,11.59384619
2.56,11.90181922
2.6,12.21299547
2.64,12.52749505
2.68,12.84542688
2.72,13.16684158
2.76,13.49180418
2.8,13.82036923
2.84,14.15253842
2.88,14.48836969
2.92,14.82797863
2.96,15.17145406
3,15.5189202
3.04,15.87056072
3.08,16.2265085
3.12,16.58682011
3.16,16.95156646
3.2,17.32082158
3.24,17.69457899
3.28,18.07283009
3.32,18.45566041
3.36,18.84315136
3.4,19.23529503
3.44,19.63205715
3.48,20.03338164
3.52,20.43906804
3.56,20.84872309
3.6,21.26184347
3.64,21.67786998
3.68,22.09615393
3.72,22.51593497
3.76,22.93637649
3.8,23.35659711
3.84,23.77565574
3.88,24.19252648
3.92,24.60610593
3.96,25.01524051
4,25.41875276
4.04,25.81547121
4.08,26.20427166
4.12,26.58412363
4.16,26.95410409
4.2,27.3133666
4.24,27.66112412
4.28,27.99666955
4.32,28.31939814
4.36,28.62879683
4.4,28.92442297
4.44,29.20588796
4.48,29.47290287
4.52,29.72529812
4.56,29.96300617
4.6,30.18602648
4.64,30.39438851
4.68,30.58815805
4.72,30.76747426
4.76,30.93256683
4.8,31.08372282
4.84,31.22124853
4.88,31.34544484
4.92,31.45658568
4.96,31.55492479
5,31.64072599
5.04,31.71427768
5.08,31.77591243
5.12,31.82600891
5.16,31.86496102
5.2,31.89313726
5.24,31.91085301
5.28,31.91837278
5.32,31.91594474
5.36,31.90383379
5.4,31.88232691
5.44,31.85172538
5.48,31.81232405
5.52,31.76439541
5.56,31.70820694
5.6,31.64402829
5.64,31.57213572
5.68,31.49282125
5.72,31.40638465
5.76,31.31312259
5.8,31.21332759
5.84,31.10728649
5.88,30.99527488
5.92,30.87757501
5.96,30.75450399
6,30.62641176
6.04,30.49367378
6.08,30.35667735
6.12,30.21576909
6.16,30.07122211
6.2,29.92327269
6.24,29.77215005
6.28,29.61807968
6.32,29.46130136
6.36,29.30208871
6.4,29.140727
6.44,28.97745943
6.48,28.81245482
6.52,28.64581987
6.56,28.47761304
6.6,28.30785601
6.64,28.13656132
6.68,27.96375576
6.72,27.78949682
6.76,27.61386591
6.8,27.43693287
6.84,27.2587163
6.88,27.07919363
6.92,26.89834247
6.96,26.71614683
7,26.53258889
7.04,26.34765911
7.08,26.16137903
7.12,25.97380238
7.16,25.78500901
7.2,25.59508859
7.24,25.40411523
7.28,25.21214291
7.32,25.01922839
7.36,24.82546173
7.4,24.63095971
7.44,24.43584351
7.48,24.24023727
7.52,24.04428214
7.56,23.8481386
7.6,23.6519618
7.64,23.45588074
7.68,23.26001893
7.72,23.06452962
7.76,22.86958688
7.8,22.67535303
7.84,22.48197349
7.88,22.28959558
7.92,22.09837183
7.96,21.90844821
8,21.71995567
8.04,21.53300908
8.08,21.34772277
8.12,21.1642284
8.16,20.98266834
8.2,20.80318389
8.24,20.62590962
8.28,20.45096021
8.32,20.27842903
8.36,20.10840907
8.4,19.94100343
8.44,19.77631449
8.48,19.61444868
8.52,19.45552404
8.56,19.29965255
8.6,19.14695062
8.64,18.99757167
8.68,18.85168007
8.72,18.70941402
8.76,18.57089187
8.8,18.43620665
