energy_ev,cross_section
0.01,5.134e-07
0.02,2.0536e-06
0.03,4.6207e-06
0.04,8.2146e-06
0.05,1.28353e-05
0.06,1.84828e-05
0.07,2.5157e-05
0.08,3.28581e-05
0.09,4.15859e-05
0.1,5.13405e-05
0.11,6.21218e-05
0.12,7.39298e-05
0.13,8.67645e-05
0.14,0.0001006259
0.15,0.0001155139
0.16,0.0001314285
0.17,0.0001483698
0.18,0.0001663375
0.19,0.0001853318
0.2,0.0002053526
0.21,0.0002263999
0.22,0.0002484735
0.23,0.0002715735
0.24,0.0002956999
0.25,0.0003208525
0.26,0.0003470314
0.27,0.0003742365
0.28,0.0004024677
0.29,0.0004317251
0.3,0.0004620084
0.31,0.0004933178
0.32,0.0005256531
0.33,0.0005590142
0.34,0.0005934012
0.35,0.0006288139
0.36,0.0006652523
0.37,0.0007027163
0.38,0.0007412058
0.39,0.0007807208
0.4,0.0008212613
0.41,0.000862827
0.42,0.0009054181
0.43,0.0009490343
0.44,0.0009936756
0.45,0.001039342
0.46,0.0010860332
0.47,0.0011337493
0.48,0.0011824901
0.49,0.0012322557
0.5,0.0012830459
0.51,0.0013348605
0.52,0.0013876996
0.53,0.0014415629
0.54,0.0014964505
0.55,0.001552362
0.56,0.0016092977
0.57,0.0016672573
0.58,0.0017262406
0.59,0.0017862476
0.6,0.0018472783
0.61,0.0019093323
0.62,0.0019724097
0.63,0.0020365104
0.64,0.0021016342
0.65,0.002167781
0.66,0.0022349507
0.67,0.0023031431
0.68,0.0023723581
0.69,0.0024425957
0.7,0.0025138557
0.71,0.0025861379
0.72,0.0026594422
0.73,0.0027337685
0.74,0.0028091167
0.75,0.0028854866
0.76,0.002962878
0.77,0.003041291
0.78,0.0031207251
0.79,0.0032011805
0.8,0.0032826567
0.81,0.0033651539
0.82,0.0034486718
0.83,0.0035332102
0.84,0.003618769
0.850001,0.0037053481
0.860001,0.0037929472
0.870001,0.0038815663
0.880001,0.003971205
0.890001,0.0040618635
0.900001,0.0041535412
0.910001,0.0042462383
0.920001,0.0043399545
0.930001,0.0044346896
0.940001,0.0045304435
0.950001,0.0046272159
0.960001,0.0047250067
0.970001,0.0048238157
0.980001,0.0049236427
0.990001,0.0050244876
1.000001,0.0051263502
1.010001,0.0052292303
1.020001,0.0053331276
1.030001,0.0054380421
1.040001,0.0055439734
1.050001,0.0056509215
1.060001,0.0057588861
1.070001,0.005867867
1.080001,0.0059778641
1.090001,0.0060888771
1.100001,0.0062009057
1.110001,0.00631395
1.120001,0.0064280095
1.130001,0.0065430841
1.140001,0.0066591736
1.150001,0.0067762778
1.160001,0.0068943964
1.170001,0.0070135293
1.180001,0.0071336762
1.190001,0.0072548369
1.200001,0.0073770112
1.210001,0.0075001988
1.220001,0.0076243997
1.230001,0.0077496133
1.240001,0.0078758396
1.250001,0.0080030784
1.260001,0.0081313294
1.270001,0.0082605924
1.280001,0.0083908672
1.290001,0.0085221534
1.300001,0.0086544509
1.310001,0.0087877594
1.320001,0.0089220786
1.330001,0.0090574084
1.340001,0.0091937484
1.350001,0.0093310984
1.360001,0.0094694582
1.370001,0.0096088276
1.380001,0.0097492062
1.390001,0.0098905937
1.400001,0.0100329906
1.410001,0.0101763951
1.420001,0.0103208082
1.430001,0.010466229
1.440001,0.0106126575
1.450001,0.0107600935
1.460001,0.0109085362
1.470001,0.0110579865
1.480001,0.0112084435
1.490001,0.0113599061
1.500001,0.0115123754
1.510001,0.0116658503
1.520001,0.0118203298
1.530001,0.011975815
1.540001,0.0121323059
1.550001,0.0122898004
1.560001,0.0124482996
1.570001,0.0126078025
1.580001,0.01276831
1.590001,0.0129298202
1.600001,0.013092333
1.610001,0.0132558495
1.620001,0.0134203687
1.630001,0.0135858896
1.640001,0.0137524122
1.650001,0.0139199364
1.660001,0.0140884624
1.670001,0.014257989
1.680001,0.0144285163
1.690001,0.0146000443
1.700001,0.014772572
1.710001,0.0149461004
1.720001,0.0151206265
1.730001,0.0152961533
1.740001,0.0154726779
1.750001,0.0156502011
1.760001,0.0158287221
1.770001,0.0160082407
1.780001,0.0161887571
1.790001,0.0163702712
1.800001,0.016552781
1.810001,0.0167362876
1.820001,0.0169207909
1.830001,0.0171062889
1.840001,0.0172927827
1.850001,0.0174802722
1.860001,0.0176687554
1.870001,0.0178582334
1.880001,0.0180487052
1.890001,0.0182401707
1.900001,0.0184326299
1.910001,0.0186260809
1.920001,0.0188205257
1.930001,0.0190159622
1.940001,0.0192123905
1.950001,0.0194098096
1.960001,0.0196082204
1.970001,0.0198076221
1.980001,0.0200080135
1.990001,0.0202093956
2.000001,0.0204117676
2.010001,0.0206151274
2.020001,0.0208194769
2.030001,0.0210248152
2.040001,0.0212311414
2.050001,0.0214384543
2.060001,0.0216467561
2.070001,0.0218560436
2.080001,0.022066318
2.090001,0.0222775782
2.100001,0.0224898242
2.110001,0.022703056
2.120001,0.0229172727
2.130001,0.0231324741
2.140001,0.0233486584
2.150001,0.0235658276
2.160001,0.0237839796
2.170001,0.0240031144
2.180001,0.024223232
2.190001,0.0244443316
2.200001,0.0246664129
2.210001,0.0248894761
2.220001,0.0251135192
2.230001,0.0253385432
2.240001,0.025564546
2.250001,0.0257915296
2.260001,0.0260194922
2.270001,0.0262484326
2.280001,0.0264783519
2.290001,0.0267092491
2.300001,0.0269411242
2.310001,0.0271739751
2.320001,0.027407804
2.330001,0.0276426077
2.340001,0.0278783874
2.350001,0.028115142
2.360001,0.0283528724
2.370001,0.0285915758
2.380001,0.0288312541
2.390001,0.0290719053
2.400001,0.0293135294
2.410001,0.0295561255
2.420001,0.0297996945
2.430001,0.0300442344
2.440001,0.0302897463
2.450001,0.0305362281
2.460001,0.0307836798
2.470001,0.0310321015
2.480001,0.0312814922
2.490001,0.0315318518
2.500001,0.0317831803
2.510001,0.0320354759
2.520001,0.0322887394
2.530001,0.0325429688
2.540002,0.0327981653
2.550002,0.0330543277
2.560002,0.0333114551
2.570002,0.0335695475
2.580002,0.0338286039
2.590002,0.0340886253
2.600002,0.0343496096
2.610002,0.034611556
2.620002,0.0348744664
2.630002,0.0351383378
2.640002,0.0354031702
2.650002,0.0356689636
2.660002,0.0359357181
2.670002,0.0362034326
2.680002,0.0364721051
2.690002,0.0367417376
2.700002,0.0370123282
2.710002,0.0372838768
2.720002,0.0375563825
2.730002,0.0378298452
2.740002,0.038104264
2.750001,0.0383796388
2.760002,0.0386559687
2.770002,0.0389332537
2.780002,0.0392114917
2.790002,0.0394906848
2.800002,0.03977083
2.810002,0.0400519273
2.820002,0.0403339777
2.830002,0.0406169791
2.840002,0.0409009316
2.850002,0.0411858343
2.860002,0.041471687
2.870002,0.0417584889
2.880002,0.0420462399
2.890002,0.042334939
2.900002,0.0426245852
2.910002,0.0429151785
2.920002,0.043206719
2.930002,0.0434992046
2.940002,0.0437926363
2.950002,0.0440870122
2.960002,0.0443823322
2.970002,0.0446785964
2.980002,0.0449758037
2.990002,0.0452739542
3.000002,0.0455730459
3.010002,0.0458730787
3.020002,0.0461740527
3.030002,0.0464759669
3.040002,0.0467788202
3.050002,0.0470826138
3.060002,0.0473873445
3.070002,0.0476930135
3.080002,0.0479996206
3.090002,0.0483071639
3.100002,0.0486156425
3.110002,0.0489250572
3.120002,0.0492354072
3.130002,0.0495466914
3.140002,0.0498589088
3.150002,0.0501720594
3.160002,0.0504861423
3.170002,0.0508011574
3.180002,0.0511171038
3.190002,0.0514339804
3.200002,0.0517517873
3.210002,0.0520705234
3.220002,0.0523901888
3.230002,0.0527107815
3.240002,0.0530323024
3.250002,0.0533547506
3.260002,0.0536781241
3.270002,0.0540024238
3.280002,0.0543276479
3.290002,0.0546537972
3.300002,0.0549808699
3.310002,0.0553088658
3.320002,0.0556377831
3.330002,0.0559676237
3.340002,0.0562983846
3.350002,0.0566300658
3.360002,0.0569626673
3.370002,0.0572961882
3.380002,0.0576306274
3.390002,0.057965985
3.400002,0.0583022588
3.410002,0.0586394501
3.420002,0.0589775567
3.430002,0.0593165796
3.440002,0.059656516
3.450002,0.0599973667
3.460002,0.0603391307
3.470002,0.0606818072
3.480002,0.061025395
3.490002,0.0613698952
3.500002,0.0617153048
3.510002,0.0620616248
3.520002,0.0624088543
3.530002,0.0627569921
3.540002,0.0631060373
3.550002,0.06345599
3.560002,0.063806849
3.570002,0.0641586135
3.580002,0.0645112834
3.590002,0.0648648568
3.600002,0.0652193346
3.610002,0.0655747159
3.620002,0.0659309986
3.630002,0.0662881827
3.640002,0.0666462683
3.650002,0.0670052534
3.660002,0.067365138
3.670002,0.067725921
3.680002,0.0680876025
3.690002,0.0684501815
3.700002,0.068813657
3.710002,0.069178027
3.720002,0.0695432935
3.730002,0.0699094535
3.740002,0.070276508
3.750002,0.070644454
3.760002,0.0710132935
3.770002,0.0713830236
3.780002,0.0717536452
3.790002,0.0721251553
3.800002,0.072497556
3.810002,0.0728708442
3.820002,0.0732450209
3.830002,0.0736200842
3.840002,0.0739960331
3.850002,0.0743728685
3.860002,0.0747505886
3.870002,0.0751291911
3.880002,0.0755086783
3.890002,0.075889047
3.900002,0.0762702984
3.910002,0.0766524303
3.920002,0.0770354419
3.930002,0.077419333
3.940002,0.0778041027
3.950002,0.0781897501
3.960002,0.0785762751
3.970002,0.0789636757
3.980002,0.079351952
3.990002,0.0797411028
4.000002,0.0801311274
4.010002,0.0805220255
4.020002,0.0809137963
4.030002,0.0813064378
4.040002,0.081699951
4.050002,0.0820943327
4.060002,0.0824895852
4.070002,0.0828857044
4.080002,0.0832826922
4.090002,0.0836805467
4.100002,0.0840792669
4.110003,0.0844788529
4.120002,0.0848793025
4.130002,0.0852806158
4.140003,0.0856827918
4.150002,0.0860858296
4.160002,0.0864897281
4.170003,0.0868944873
4.180002,0.0873001062
4.190002,0.0877065829
4.200003,0.0881139183
4.210002,0.0885221095
4.220002,0.0889311574
4.230003,0.0893410611
4.240003,0.0897518185
4.250002,0.0901634298
4.260003,0.0905758937
4.270003,0.0909892095
4.280002,0.0914033771
4.290003,0.0918183944
4.300003,0.0922342606
4.310002,0.0926509755
4.320003,0.0930685383
4.330003,0.0934869479
4.340003,0.0939062033
4.350003,0.0943263045
4.360003,0.0947472495
4.370003,0.0951690374
4.380003,0.0955916681
4.390003,0.0960151407
4.400003,0.0964394541
4.410003,0.0968646073
4.420003,0.0972905994
4.430003,0.0977174294
4.440003,0.0981450973
4.450003,0.098573601
4.460003,0.0990029406
4.470003,0.0994331141
4.480003,0.0998641225
4.490003,0.1002959618
4.500003,0.100728632
4.510003,0.1011621421
4.520003,0.1015964721
4.530003,0.102031632
4.540003,0.1024676318
4.550003,0.1029044416
4.560003,0.1033420913
4.570003,0.103780561
4.580003,0.1042198606
4.590003,0.1046599801
4.600003,0.1051009196
4.610003,0.1055426891
4.620003,0.1059852685
4.630003,0.1064286779
4.640003,0.1068728973
4.650003,0.1073179466
4.660003,0.107763806
4.670003,0.1082104853
4.680003,0.1086579746
4.690003,0.109106284
4.700003,0.1095554033
4.710003,0.1100053327
4.720003,0.110456082
4.730003,0.1109076414
4.740003,0.1113600009
4.750003,0.1118131803
4.760003,0.1122671598
4.770003,0.1127219494
4.780003,0.113177549
4.790003,0.1136339487
4.800003,0.1140911584
4.810003,0.1145491682
4.820003,0.1150079781
4.830003,0.115467588
4.840003,0.115927998
4.850003,0.1163892181
4.860003,0.1168512283
4.870003,0.1173140386
4.880003,0.1177776391
4.890003,0.1182420396
4.900003,0.1187072302
4.910003,0.119173221
4.920003,0.1196400019
4.930003,0.1201075729
4.940003,0.120575934
4.950003,0.1210450853
4.960003,0.1215150268
4.970003,0.1219857584
4.980003,0.1224572701
4.990003,0.1229295721
5.000003,0.1234026642
5.010003,0.1238765264
5.020003,0.1243511789
5.030003,0.1248266115
5.040003,0.1253028243
5.050003,0.1257798173
