time_au,dipole
0,-0.7526442869
0.004,-0.7526442869
0.008,-0.7526442869
0.012,-0.7526442869
0.016,-0.7526442869
0.02,-0.7526442869
0.024,-0.7526442869
0.028,-0.7526442868
0.032,-0.7526442868
0.036,-0.7526442868
0.04,-0.7526442868
0.044,-0.7526442867
0.048,-0.7526442867
0.052,-0.7526442867
0.056,-0.7526442867
0.06,-0.7526442866
0.064,-0.7526442866
0.068,-0.7526442866
0.072,-0.7526442866
0.076,-0.7526442865
0.08,-0.7526442865
0.084,-0.7526442865
0.088,-0.7526442865
0.092,-0.7526442865
0.096,-0.7526442865
0.1,-0.7526442865
0.104,-0.7526442865
0.108,-0.7526442865
0.112,-0.7526442865
0.116,-0.7526442865
0.12,-0.7526442865
0.124,-0.7526442865
0.128,-0.7526442866
0.132,-0.7526442866
0.136,-0.7526442867
0.14,-0.7526442867
0.144,-0.7526442868
0.148,-0.7526442869
0.152,-0.752644287
0.156,-0.7526442871
0.16,-0.7526442873
0.164,-0.7526442874
0.168,-0.7526442876
0.172,-0.7526442878
0.176,-0.7526442879
0.18,-0.7526442881
0.184,-0.7526442884
0.188,-0.7526442886
0.192,-0.7526442888
0.196,-0.7526442891
0.2,-0.7526442894
0.204,-0.7526442896
0.208,-0.7526442899
0.212,-0.7526442903
0.216,-0.7526442906
0.22,-0.7526442909
0.224,-0.7526442913
0.228,-0.7526442916
0.232,-0.752644292
0.236,-0.7526442924
0.24,-0.7526442928
0.244,-0.7526442932
0.248,-0.7526442937
0.252,-0.7526442941
0.256,-0.7526442946
0.26,-0.752644295
0.264,-0.7526442955
0.268,-0.752644296
0.272,-0.7526442965
0.276,-0.752644297
0.28,-0.7526442976
0.284,-0.7526442981
0.288,-0.7526442987
0.292,-0.7526442993
0.296,-0.7526442999
0.3,-0.7526443005
0.304,-0.7526443011
0.308,-0.7526443017
0.312,-0.7526443023
0.316,-0.752644303
0.32,-0.7526443037
0.324,-0.7526443044
0.328,-0.7526443051
0.332,-0.7526443058
0.336,-0.7526443065
0.34,-0.7526443072
0.344,-0.752644308
0.348,-0.7526443087
0.352,-0.7526443095
0.356,-0.7526443103
0.36,-0.7526443111
0.364,-0.7526443119
0.368,-0.7526443127
0.372,-0.7526443136
0.376,-0.7526443144
0.38,-0.7526443153
0.384,-0.7526443161
0.388,-0.752644317
0.392,-0.7526443179
0.396,-0.7526443187
0.4,-0.7526443196
0.404,-0.7526443205
0.408,-0.7526443214
0.412,-0.7526443223
0.416,-0.7526443232
0.42,-0.7526443241
0.424,-0.752644325
0.428,-0.7526443259
0.432,-0.7526443268
0.436,-0.7526443277
0.44,-0.7526443286
0.444,-0.7526443295
0.448,-0.7526443304
