# nspin         1
# kick mode    0
# kick strength    0.005000000000
# dim           3
# pol(1)           1.000000000000    0.000000000000    0.000000000000
# pol(2)           0.000000000000    1.000000000000    0.000000000000
# pol(3)           0.000000000000    0.000000000000    1.000000000000
# direction    1
# Equiv. axes  0
# wprime           0.000000000000    0.000000000000    1.000000000000
# kick time        0.000000000000
#%
# Number of time steps =    10000
# PropagationSpectrumDampMode   =    2
# PropagationSpectrumDampFactor =    -1.0000
# PropagationSpectrumStartTime  =     0.0000
# PropagationSpectrumEndTime    =   200.0000
# PropagationSpectrumMinEnergy  =     0.0000
# PropagationSpectrumMaxEnergy  =     0.7350
# PropagationSpectrumEnergyStep =     0.0004
#%
# Electronic sum rule       =         3.822896
# Static polarizability (from sum rule) =        14.059382 b
#%
#       Energy        sigma(1, nspin=1)   sigma(2, nspin=1)   sigma(3, nspin=1)   StrengthFunction(1)
#        [H]                [b^2]               [b^2]               [b^2]               [1/H]        
      0.00000000E+00     -0.00000000E+00     -0.00000000E+00     -0.00000000E+00     -0.00000000E+00
      0.36749325E-03      0.27984629E-10      0.26052022E-08     -0.33593751E-09      0.19427839E-09
      0.73498651E-03      0.11690217E-09      0.10414112E-07     -0.13428866E-08      0.81157284E-09
      0.11024798E-02      0.28172399E-09      0.23406659E-07     -0.30182599E-08      0.19558194E-08
      0.14699730E-02      0.54766921E-09      0.41549466E-07     -0.53577538E-08      0.38020975E-08
      0.18374663E-02      0.95060085E-09      0.64795948E-07     -0.83553625E-08      0.65993799E-08
      0.22049595E-02      0.15375722E-08      0.93086464E-07     -0.12003397E-07      0.10674326E-07
      0.25724528E-02      0.23675154E-08      0.12634850E-06     -0.16292508E-07      0.16436061E-07
      0.29399460E-02      0.35120616E-08      0.16449691E-06     -0.21211718E-07      0.24381873E-07
      0.33074393E-02      0.50564809E-08      0.20743416E-06     -0.26748452E-07      0.35103733E-07
      0.36749325E-02      0.71007269E-08      0.25505066E-06     -0.32888582E-07      0.49295552E-07
      0.40424258E-02      0.97605706E-08      0.30722508E-06     -0.39616465E-07      0.67761051E-07
      0.44099190E-02      0.13168805E-07      0.36382476E-06     -0.46914998E-07      0.91422123E-07
      0.47774123E-02      0.17476502E-07      0.42470611E-06     -0.54765667E-07      0.12132756E-06
      0.51449056E-02      0.22854300E-07      0.48971504E-06     -0.63148610E-07      0.15866197E-06
      0.55123988E-02      0.29493699E-07      0.55868747E-06     -0.72042672E-07      0.20475484E-06
      0.58798921E-02      0.37608346E-07      0.63144984E-06     -0.81425476E-07      0.26108936E-06
      0.62473853E-02      0.47435285E-07      0.70781962E-06     -0.91273491E-07      0.32931115E-06
      0.66148786E-02      0.59236136E-07      0.78760591E-06     -0.10156211E-06      0.41123650E-06
      0.69823718E-02      0.73298207E-07      0.87061001E-06     -0.11226570E-06      0.50885996E-06
      0.73498651E-02      0.89935484E-07      0.95662603E-06     -0.12335774E-06      0.62436134E-06
      0.77173583E-02      0.10948950E-06      0.10454415E-05     -0.13481083E-06      0.76011165E-06
      0.80848516E-02      0.13233003E-06      0.11368382E-05     -0.14659683E-06      0.91867806E-06
      0.84523448E-02      0.15885566E-06      0.12305924E-05     -0.15868691E-06      0.11028276E-05
      0.88198381E-02      0.18949408E-06      0.13264761E-05     -0.17105167E-06      0.13155295E-05
      0.91873313E-02      0.22470224E-06      0.14242573E-05     -0.18366120E-06      0.15599560E-05
      0.95548246E-02      0.26496623E-06      0.15237008E-05     -0.19648518E-06      0.18394816E-05
      0.99223179E-02      0.31080088E-06      0.16245692E-05     -0.20949300E-06      0.21576807E-05
      0.10289811E-01      0.36274920E-06      0.17266230E-05     -0.22265381E-06      0.25183228E-05
      0.10657304E-01      0.42138141E-06      0.18296219E-05     -0.23593661E-06      0.29253666E-05
      0.11024798E-01      0.48729376E-06      0.19333253E-05     -0.24931038E-06      0.33829516E-05
      0.11392291E-01      0.56110709E-06      0.20374929E-05     -0.26274415E-06      0.38953877E-05
      0.11759784E-01      0.64346495E-06      0.21418856E-05     -0.27620710E-06      0.44671427E-05
      0.12127277E-01      0.73503161E-06      0.22462660E-05     -0.28966863E-06      0.51028282E-05
      0.12494771E-01      0.83648960E-06      0.23503992E-05     -0.30309845E-06      0.58071825E-05
      0.12862264E-01      0.94853705E-06      0.24540536E-05     -0.31646670E-06      0.65850523E-05
      0.13229757E-01      0.10718847E-05      0.25570012E-05     -0.32974399E-06      0.74413718E-05
      0.13597250E-01      0.12072527E-05      0.26590186E-05     -0.34290153E-06      0.83811405E-05
      0.13964744E-01      0.13553670E-05      0.27598874E-05     -0.35591116E-06      0.94093981E-05
      0.14332237E-01      0.15169556E-05      0.28593950E-05     -0.36874546E-06      0.10531199E-04
      0.14699730E-01      0.16927447E-05      0.29573349E-05     -0.38137783E-06      0.11751584E-04
      0.15067223E-01      0.18834542E-05      0.30535075E-05     -0.39378253E-06      0.13075551E-04
      0.15434717E-01      0.20897934E-05      0.31477206E-05     -0.40593477E-06      0.14508025E-04
      0.15802210E-01      0.23124566E-05      0.32397897E-05     -0.41781078E-06      0.16053825E-04
      0.16169703E-01      0.25521183E-05      0.33295387E-05     -0.42938785E-06      0.17717634E-04
      0.16537196E-01      0.28094282E-05      0.34168003E-05     -0.44064439E-06      0.19503963E-04
      0.16904690E-01      0.30850068E-05      0.35014163E-05     -0.45156002E-06      0.21417119E-04
      0.17272183E-01      0.33794399E-05      0.35832380E-05     -0.46211555E-06      0.23461170E-04
      0.17639676E-01      0.36932743E-05      0.36621265E-05     -0.47229309E-06      0.25639910E-04
      0.18007169E-01      0.40270127E-05      0.37379533E-05     -0.48207604E-06      0.27956830E-04
      0.18374663E-01      0.43811087E-05      0.38106001E-05     -0.49144915E-06      0.30415080E-04
      0.18742156E-01      0.47559627E-05      0.38799595E-05     -0.50039856E-06      0.33017438E-04
      0.19109649E-01      0.51519172E-05      0.39459347E-05     -0.50891179E-06      0.35766283E-04
      0.19477142E-01      0.55692522E-05      0.40084402E-05     -0.51697779E-06      0.38663558E-04
      0.19844636E-01      0.60081817E-05      0.40674013E-05     -0.52458692E-06      0.41710749E-04
      0.20212129E-01      0.64688498E-05      0.41227549E-05     -0.53173101E-06      0.44908857E-04
      0.20579622E-01      0.69513272E-05      0.41744489E-05     -0.53840334E-06      0.48258372E-04
      0.20947115E-01      0.74556083E-05      0.42224425E-05     -0.54459862E-06      0.51759255E-04
      0.21314609E-01      0.79816086E-05      0.42667062E-05     -0.55031302E-06      0.55410920E-04
      0.21682102E-01      0.85291623E-05      0.43072217E-05     -0.55554414E-06      0.59212215E-04
      0.22049595E-01      0.90980207E-05      0.43439815E-05     -0.56029100E-06      0.63161415E-04
      0.22417088E-01      0.96878510E-05      0.43769893E-05     -0.56455404E-06      0.67256209E-04
      0.22784582E-01      0.10298236E-04      0.44062594E-05     -0.56833506E-06      0.71493699E-04
      0.23152075E-01      0.10928673E-04      0.44318167E-05     -0.57163723E-06      0.75870395E-04
      0.23519568E-01      0.11578574E-04      0.44536964E-05     -0.57446504E-06      0.80382223E-04
      0.23887062E-01      0.12247270E-04      0.44719435E-05     -0.57682426E-06      0.85024528E-04
      0.24254555E-01      0.12934008E-04      0.44866130E-05     -0.57872191E-06      0.89792084E-04
      0.24622048E-01      0.13637955E-04      0.44977690E-05     -0.58016622E-06      0.94679117E-04
      0.24989541E-01      0.14358204E-04      0.45054850E-05     -0.58116657E-06      0.99679314E-04
      0.25357035E-01      0.15093770E-04      0.45098426E-05     -0.58173348E-06      0.10478586E-03
      0.25724528E-01      0.15843604E-04      0.45109322E-05     -0.58187847E-06      0.10999144E-03
      0.26092021E-01      0.16606588E-04      0.45088515E-05     -0.58161412E-06      0.11528833E-03
      0.26459514E-01      0.17381547E-04      0.45037057E-05     -0.58095391E-06      0.12066834E-03
      0.26827008E-01      0.18167252E-04      0.44956071E-05     -0.57991223E-06      0.12612296E-03
      0.27194501E-01      0.18962426E-04      0.44846741E-05     -0.57850426E-06      0.13164332E-03
      0.27561994E-01      0.19765755E-04      0.44710310E-05     -0.57674597E-06      0.13722029E-03
      0.27929487E-01      0.20575887E-04      0.44548076E-05     -0.57465397E-06      0.14284449E-03
      0.28296981E-01      0.21391451E-04      0.44361384E-05     -0.57224555E-06      0.14850640E-03
      0.28664474E-01      0.22211054E-04      0.44151623E-05     -0.56953849E-06      0.15419635E-03
      0.29031967E-01      0.23033299E-04      0.43920219E-05     -0.56655110E-06      0.15990465E-03
      0.29399460E-01      0.23856789E-04      0.43668631E-05     -0.56330207E-06      0.16562158E-03
      0.29766954E-01      0.24680137E-04      0.43398342E-05     -0.55981044E-06      0.17133753E-03
      0.30134447E-01      0.25501975E-04      0.43110860E-05     -0.55609553E-06      0.17704299E-03
      0.30501940E-01      0.26320967E-04      0.42807706E-05     -0.55217685E-06      0.18272870E-03
      0.30869433E-01      0.27135813E-04      0.42490412E-05     -0.54807404E-06      0.18838563E-03
      0.31236927E-01      0.27945266E-04      0.42160514E-05     -0.54380679E-06      0.19400512E-03
      0.31604420E-01      0.28748135E-04      0.41819550E-05     -0.53939479E-06      0.19957889E-03
      0.31971913E-01      0.29543297E-04      0.41469049E-05     -0.53485767E-06      0.20509917E-03
      0.32339406E-01      0.30329709E-04      0.41110531E-05     -0.53021490E-06      0.21055869E-03
      0.32706900E-01      0.31106415E-04      0.40745501E-05     -0.52548573E-06      0.21595084E-03
      0.33074393E-01      0.31872552E-04      0.40375440E-05     -0.52068918E-06      0.22126961E-03
      0.33441886E-01      0.32627367E-04      0.40001807E-05     -0.51584391E-06      0.22650978E-03
      0.33809379E-01      0.33370214E-04      0.39626030E-05     -0.51096820E-06      0.23166687E-03
