# nspin         1
# kick mode    0
# kick strength    0.005000000000
# dim           3
# pol(1)           1.000000000000    0.000000000000    0.000000000000
# pol(2)           0.000000000000    1.000000000000    0.000000000000
# pol(3)           0.000000000000    0.000000000000    1.000000000000
# direction    1
# Equiv. axes  0
# wprime           0.000000000000    0.000000000000    1.000000000000
# kick time        0.000000000000
#%
# Number of time steps =    10000
# PropagationSpectrumDampMode   =    2
# PropagationSpectrumDampFactor =    -1.0000
# PropagationSpectrumStartTime  =     0.0000
# PropagationSpectrumEndTime    =   200.0000
# PropagationSpectrumMinEnergy  =     0.0000
# PropagationSpectrumMaxEnergy  =     0.7350
# PropagationSpectrumEnergyStep =     0.0004
#%
# Electronic sum rule       =         1.946003
# Static polarizability (from sum rule) =         6.942427 b
#%
#       Energy        sigma(1, nspin=1)   sigma(2, nspin=1)   sigma(3, nspin=1)   StrengthFunction(1)
#        [H]                [b^2]               [b^2]               [b^2]               [1/H]        
      0.00000000E+00     -0.00000000E+00     -0.00000000E+00     -0.00000000E+00     -0.00000000E+00
      0.36749325E-03      0.12742578E-08     -0.35322115E-11     -0.16450385E-05      0.88463115E-08
      0.73498651E-03      0.51238455E-08     -0.14120620E-10     -0.65765428E-05      0.35571400E-07
      0.11024798E-02      0.11629003E-07     -0.31740576E-10     -0.14783691E-04      0.80732316E-07
      0.14699730E-02      0.20922787E-07     -0.56351083E-10     -0.26248485E-04      0.14525278E-06
      0.18374663E-02      0.33190062E-07     -0.87894929E-10     -0.40945804E-04      0.23041619E-06
      0.22049595E-02      0.48666096E-07     -0.12629887E-09     -0.58843487E-04      0.33785585E-06
      0.25724528E-02      0.67634772E-07     -0.17147387E-09     -0.79902430E-04      0.46954256E-06
      0.29399460E-02      0.90426431E-07     -0.22331538E-09     -0.10407671E-03      0.62776966E-06
      0.33074393E-02      0.11741535E-06     -0.28170367E-09     -0.13131372E-03      0.81513549E-06
      0.36749325E-02      0.14901688E-06     -0.34650422E-09     -0.16155434E-03      0.10345236E-05
      0.40424258E-02      0.18568429E-06     -0.41756814E-09     -0.19473313E-03      0.12890807E-05
      0.44099190E-02      0.22790525E-06     -0.49473265E-09     -0.23077852E-03      0.15821923E-05
      0.47774123E-02      0.27619813E-06     -0.57782161E-09     -0.26961302E-03      0.19174572E-05
      0.51449056E-02      0.33110796E-06     -0.66664606E-09     -0.31115348E-03      0.22986590E-05
      0.55123988E-02      0.39320221E-06     -0.76100483E-09     -0.35531134E-03      0.27297375E-05
      0.58798921E-02      0.46306641E-06     -0.86068520E-09     -0.40199290E-03      0.32147574E-05
      0.62473853E-02      0.54129955E-06     -0.96546354E-09     -0.45109960E-03      0.37578773E-05
      0.66148786E-02      0.62850937E-06     -0.10751060E-08     -0.50252835E-03      0.43633162E-05
      0.69823718E-02      0.72530759E-06     -0.11893694E-08     -0.55617179E-03      0.50353209E-05
      0.73498651E-02      0.83230501E-06     -0.13080018E-08     -0.61191867E-03      0.57781317E-05
      0.77173583E-02      0.95010665E-06     -0.14307433E-08     -0.66965416E-03      0.65959490E-05
      0.80848516E-02      0.10793068E-05     -0.15573272E-08     -0.72926020E-03      0.74928987E-05
      0.84523448E-02      0.12204844E-05     -0.16874802E-08     -0.79061584E-03      0.84729992E-05
      0.88198381E-02      0.13741978E-05     -0.18209239E-08     -0.85359764E-03      0.95401278E-05
      0.91873313E-02      0.15409807E-05     -0.19573753E-08     -0.91807999E-03      0.10697989E-04
      0.95548246E-02      0.17213371E-05     -0.20965478E-08     -0.98393549E-03      0.11950081E-04
      0.99223179E-02      0.19157372E-05     -0.22381521E-08     -0.10510354E-02      0.13299670E-04
      0.10289811E-01      0.21246134E-05     -0.23818971E-08     -0.11192498E-02      0.14749756E-04
      0.10657304E-01      0.23483560E-05     -0.25274905E-08     -0.11884483E-02      0.16303050E-04
      0.11024798E-01      0.25873099E-05     -0.26746404E-08     -0.12585002E-02      0.17961946E-04
      0.11392291E-01      0.28417713E-05     -0.28230553E-08     -0.13292747E-02      0.19728499E-04
      0.11759784E-01      0.31119842E-05     -0.29724456E-08     -0.14006416E-02      0.21604405E-04
      0.12127277E-01      0.33981383E-05     -0.31225246E-08     -0.14724717E-02      0.23590980E-04
      0.12494771E-01      0.37003663E-05     -0.32730086E-08     -0.15446367E-02      0.25689145E-04
      0.12862264E-01      0.40187421E-05     -0.34236185E-08     -0.16170099E-02      0.27899413E-04
      0.13229757E-01      0.43532793E-05     -0.35740804E-08     -0.16894666E-02      0.30221879E-04
      0.13597250E-01      0.47039299E-05     -0.37241262E-08     -0.17618842E-02      0.32656210E-04
      0.13964744E-01      0.50705839E-05     -0.38734946E-08     -0.18341428E-02      0.35201641E-04
      0.14332237E-01      0.54530686E-05     -0.40219319E-08     -0.19061251E-02      0.37856974E-04
      0.14699730E-01      0.58511493E-05     -0.41691924E-08     -0.19777170E-02      0.40620579E-04
      0.15067223E-01      0.62645293E-05     -0.43150396E-08     -0.20488081E-02      0.43490397E-04
      0.15434717E-01      0.66928514E-05     -0.44592465E-08     -0.21192913E-02      0.46463949E-04
      0.15802210E-01      0.71356994E-05     -0.46015962E-08     -0.21890637E-02      0.49538343E-04
      0.16169703E-01      0.75925997E-05     -0.47418827E-08     -0.22580266E-02      0.52710293E-04
      0.16537196E-01      0.80630239E-05     -0.48799114E-08     -0.23260856E-02      0.55976131E-04
      0.16904690E-01      0.85463913E-05     -0.50154995E-08     -0.23931509E-02      0.59331825E-04
      0.17272183E-01      0.90420725E-05     -0.51484765E-08     -0.24591377E-02      0.62773005E-04
      0.17639676E-01      0.95493925E-05     -0.52786848E-08     -0.25239659E-02      0.66294985E-04
      0.18007169E-01      0.10067635E-04     -0.54059796E-08     -0.25875607E-02      0.69892790E-04
      0.18374663E-01      0.10596045E-04     -0.55302300E-08     -0.26498525E-02      0.73561186E-04
      0.18742156E-01      0.11133837E-04     -0.56513183E-08     -0.27107771E-02      0.77294710E-04
      0.19109649E-01      0.11680195E-04     -0.57691412E-08     -0.27702756E-02      0.81087707E-04
      0.19477142E-01      0.12234282E-04     -0.58836093E-08     -0.28282947E-02      0.84934361E-04
      0.19844636E-01      0.12795243E-04     -0.59946474E-08     -0.28847867E-02      0.88828732E-04
      0.20212129E-01      0.13362209E-04     -0.61021948E-08     -0.29397094E-02      0.92764798E-04
