# nspin         1
# kick mode    0
# kick strength    0.005000000000
# dim           3
# pol(1)           1.000000000000    0.000000000000    0.000000000000
# pol(2)           0.000000000000    1.000000000000    0.000000000000
# pol(3)           0.000000000000    0.000000000000    1.000000000000
# direction    1
# Equiv. axes  0
# wprime           0.000000000000    0.000000000000    1.000000000000
# kick time        0.000000000000
#%
# Number of time steps =    10000
# PropagationSpectrumDampMode   =    2
# PropagationSpectrumDampFactor =    -1.0000
# PropagationSpectrumStartTime  =     0.0000
# PropagationSpectrumEndTime    =   200.0000
# PropagationSpectrumMinEnergy  =     0.0000
# PropagationSpectrumMaxEnergy  =     0.7350
# PropagationSpectrumEnergyStep =     0.0004
#%
# Electronic sum rule       =         3.022711
# Static polarizability (from sum rule) =        11.025296 b
#%
#       Energy        sigma(1, nspin=1)   sigma(2, nspin=1)   sigma(3, nspin=1)   StrengthFunction(1)
#        [H]                [b^2]               [b^2]               [b^2]               [1/H]        
      0.00000000E+00     -0.00000000E+00     -0.00000000E+00     -0.00000000E+00     -0.00000000E+00
      0.36749325E-03      0.12788589E-06     -0.78309285E-16     -0.17330203E-15      0.88782541E-06
      0.73498651E-03      0.51125061E-06     -0.31303108E-15     -0.69279976E-15      0.35492678E-05
      0.11024798E-02      0.11492161E-05     -0.70354784E-15     -0.15572695E-14      0.79782315E-05
      0.14699730E-02      0.20403217E-05     -0.12488325E-14     -0.27646760E-14      0.14164576E-04
      0.18374663E-02      0.31825284E-05     -0.19474516E-14     -0.43121791E-14      0.22094146E-04
      0.22049595E-02      0.45732242E-05     -0.27975698E-14     -0.61961431E-14      0.31748808E-04
      0.25724528E-02      0.62092323E-05     -0.37969557E-14     -0.84121477E-14      0.43106508E-04
      0.29399460E-02      0.80868193E-05     -0.49429885E-14     -0.10955003E-13      0.56141326E-04
      0.33074393E-02      0.10201706E-04     -0.62326667E-14     -0.13818765E-13      0.70823557E-04
      0.36749325E-02      0.12549080E-04     -0.76626166E-14     -0.16996757E-13      0.87119790E-04
      0.40424258E-02      0.15123608E-04     -0.92291038E-14     -0.20481588E-13      0.10499300E-03
